listing_id,listing_date,district,rooms,listing_price_usd,source_url,size_m2,level,max_levels,is_new_building,collected_at_utc
91609,2026-08-05,Yunusobod,1,8500,https://hata.uz/en/listings/object/turkiston-avenue-novostroyka-yunusobod-r-n-bosh-tolov30-rassrochka-40-oy-91609,40.3,9,16,1,2026-08-21T23:55:40+00:00
91624,2026-08-05,Yunusobod,2,9000,https://hata.uz/en/listings/object/orzuingizdagi-uy-fakat-9000-dastlabki-tulov-kulay-shartlardama-91624,56.0,2,12,1,2026-08-21T23:55:40+00:00
91625,2026-08-05,Yunusobod,2,9000,https://hata.uz/en/listings/object/dostupnye-kvartiry-ot-9000-rassrochka-bez-pereplat-ma-91625,56.0,3,12,1,2026-08-21T23:55:40+00:00
91626,2026-08-05,Yunusobod,3,12200,https://hata.uz/en/listings/object/uspey-kupit-kvartiru-vsego-12-200-udobnaya-rassrochka-ma-91626,64.0,2,12,1,2026-08-21T23:55:40+00:00
91628,2026-08-05,Yunusobod,1,8500,https://hata.uz/en/listings/object/yangi-uylar-atigi-8500-boshlangich-tulov-kulay-rassrochka-ma-91628,51.0,2,12,1,2026-08-21T23:55:40+00:00
91629,2026-08-05,Yunusobod,1,8500,https://hata.uz/en/listings/object/novostroyka-vsego-8500-pervyy-vznos-udobnaya-rassrochka-ma-91629,51.0,2,12,1,2026-08-21T23:55:40+00:00
91640,2026-08-05,Yunusobod,1,24120,https://hata.uz/en/listings/object/srochno-super-lokatsiya-kupi-ne-opozday-1-komn-24120-619-91640,41.2,7,9,1,2026-08-21T23:55:40+00:00
91646,2026-08-05,Yunusobod,3,25000,https://hata.uz/en/listings/object/hotite-zhit-v-okruzhenii-biznesmenov-i-diplomatov-rassrochka-ipatekabg-91646,80.0,7,13,1,2026-08-21T23:55:40+00:00
91649,2026-08-05,Yunusobod,1,22000,https://hata.uz/en/listings/object/super-tsena-1-kom-385m-kv-22-000-ue888-91649,38.5,9,9,1,2026-08-21T23:55:40+00:00
91650,2026-08-05,Yunusobod,1,19236,https://hata.uz/en/listings/object/turkiston-avenue-eng-arzon-narxlarda-va-36-oyga-foizsiz-bolish-tolash-91650,28.9,14,16,1,2026-08-21T23:55:40+00:00
91653,2026-08-05,Yunusobod,2,14000,https://hata.uz/en/listings/object/novostroyka-s-kadastrom-mozhno-v-ipoteku-i-rassrochku-v-yunusabade-eh-91653,60.0,6,9,1,2026-08-21T23:55:40+00:00
